#@seed 2098
#@graphSize 100
#@graphDepth 17
#@sdComp 1
#@sdComm 1.0
#@CCR 1
#@nbproc 3
#@minmk 33.3407

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
2;0;1;1;0;1;0;1.0;93.09
2;0;1;1;0;1;1;1.0;117.63
4;1;0;1;0;0;0;0.993;25.43
4;0;0;1;0;0;0;0.993;29.18
4;3;0;1;0;0;0;0.993;29.99
4;5;0;1;0;0;0;0.993;31.0
4;2;0;1;0;0;0;0.993;33.76
4;4;0;1;0;0;0;0.993;37.07
4;2;0;1;0;0;1;0.993;37.86
4;3;0;1;0;0;1;0.993;39.62
4;5;0;1;0;0;1;0.993;45.43
4;4;0;1;0;0;1;0.993;45.57
4;0;0;1;0;0;1;0.993;45.71
4;1;0;1;0;0;1;0.993;47.68
3;0;0;1;0;1;0;0.9905;37.77
3;0;0;1;0;1;1;0.9905;41.45
3;0;5;2;1;1;0;0.9902;136.74
3;0;5;1;1;1;1;0.9902;146.23
3;0;5;1;1;1;0;0.9902;147.86
3;0;5;2;1;1;1;0.9902;148.9
0;1;0;1;0;1;0;0.9842;39.92
0;1;0;1;0;1;1;0.9842;48.48
6;1;0;1;0;1;0;0.9842;49.75
6;1;0;1;0;1;1;0.9842;62.85
3;5;0;1;1;1;0;0.9839;128.67
3;2;0;1;1;1;0;0.9839;141.4
3;5;0;1;1;1;1;0.9839;147.87
3;2;4;1;1;1;0;0.9839;154.61
3;5;4;1;1;1;0;0.9839;156.04
3;5;5;1;0;1;1;0.9839;162.92
3;2;5;1;0;1;1;0.9839;167.05
3;2;4;1;1;1;1;0.9839;167.31
3;5;5;1;0;1;0;0.9839;170.97
3;2;5;1;0;1;0;0.9839;171.56
3;5;4;1;1;1;1;0.9839;172.92
3;2;0;1;1;1;1;0.9839;180.83
5;3;0;1;0;1;0;0.9814;44.42
5;4;0;1;0;1;0;0.9814;45.12
5;3;0;1;0;1;1;0.9814;57.64
5;4;0;1;0;1;1;0.9814;64.85
5;4;4;1;0;1;1;0.9814;141.44
5;3;4;1;0;1;0;0.9814;146.75
5;3;4;1;0;1;1;0.9814;151.66
5;4;4;1;0;1;0;0.9814;167.48
0;1;0;1;1;1;1;0.9787;120.3
0;1;4;1;1;1;1;0.9787;123.6
0;1;4;1;1;1;0;0.9787;132.12
0;1;0;1;1;1;0;0.9787;135.96
0;1;5;1;0;1;0;0.9787;137.13
0;1;5;1;0;1;1;0.9787;165.45
0;0;5;1;1;1;1;0.9739;161.23
0;0;5;1;1;1;0;0.9739;179.71
0;0;5;2;1;1;1;0.9739;183.76
0;0;5;2;1;1;0;0.9739;191.13
3;5;0;1;0;1;0;0.9733;35.57
3;2;0;1;0;1;0;0.9733;37.46
3;2;0;1;0;1;1;0.9733;41.27
3;5;0;1;0;1;1;0.9733;47.59
6;1;4;1;0;0;0;0.9728;109.85
6;1;4;1;0;0;1;0.9728;145.28
4;4;4;0;0;1;0;0.9705;123.96
4;3;4;0;0;1;0;0.9705;133.09
4;4;4;0;0;1;1;0.9705;142.77
4;3;4;0;0;1;1;0.9705;149.63
6;0;5;1;1;1;1;0.9684;168.27
6;0;5;2;1;1;0;0.9684;171.08
6;0;5;1;1;1;0;0.9684;172.25
6;0;5;2;1;1;1;0.9684;183.97
5;4;5;2;1;1;1;0.968;171.45
5;3;5;2;1;1;0;0.968;179.94
5;4;5;2;1;1;0;0.968;180.51
5;3;5;1;1;1;0;0.968;181.06
5;4;5;1;1;1;0;0.968;200.86
5;3;5;2;1;1;1;0.968;207.66
5;3;5;1;1;1;1;0.968;208.4
5;4;5;1;1;1;1;0.968;215.06
6;3;5;2;1;1;0;0.9653;145.14
6;3;5;1;1;1;0;0.9653;163.89
6;3;5;2;1;1;1;0.9653;166.7
6;4;5;1;1;1;1;0.9653;171.67
6;3;5;1;1;1;1;0.9653;172.51
6;4;5;1;1;1;0;0.9653;174.33
6;4;5;2;1;1;1;0.9653;203.47
6;4;5;2;1;1;0;0.9653;211.3
6;1;5;2;1;0;0;0.965;159.45
6;1;5;1;1;0;1;0.965;170.95
6;1;5;1;1;0;0;0.965;171.86
6;1;5;2;1;0;1;0.965;177.1
0;0;4;1;0;1;1;0.9646;126.84
0;0;4;1;0;1;0;0.9646;135.74
3;0;0;1;1;1;0;0.9631;126.31
3;0;4;1;1;1;0;0.9631;135.08
3;0;5;1;0;1;1;0.9631;147.7
3;0;0;1;1;1;1;0.9631;155.71
3;0;4;1;1;1;1;0.9631;160.12
3;0;5;1;0;1;0;0.9631;171.48
0;1;5;2;1;0;0;0.9626;176.27
