#@seed 3928
#@graphSize 15
#@graphDepth 2
#@sdComp 1
#@sdComm 0.1
#@CCR 0.1
#@nbproc 3
#@minmk 1.7721

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
0;2;0;0;0;0;0;1.0;0.85
0;5;1;0;0;1;0;1.0;0.85
6;5;1;0;0;1;0;1.0;0.99
6;5;0;0;0;0;0;1.0;1.03
6;2;1;0;0;1;0;1.0;1.1
6;5;1;0;0;1;1;1.0;1.15
0;2;0;0;0;0;1;1.0;1.18
5;5;0;0;0;1;1;1.0;1.18
6;2;1;0;0;1;1;1.0;1.23
0;5;0;0;0;1;1;1.0;1.71
5;2;0;0;0;1;0;1.0;1.71
0;2;0;0;0;1;0;1.0;1.74
0;5;0;0;0;0;0;1.0;1.74
6;5;0;0;0;1;1;1.0;1.91
0;2;0;0;0;1;1;1.0;1.92
6;2;0;0;0;1;0;1.0;1.98
0;5;0;0;0;1;0;1.0;2.01
5;2;0;0;0;0;0;1.0;2.03
5;5;0;0;0;0;0;1.0;2.05
5;2;0;0;0;0;1;1.0;2.06
6;2;0;0;0;0;0;1.0;2.06
0;5;1;0;0;1;1;1.0;2.13
6;2;0;0;0;0;1;1.0;2.15
5;5;0;0;0;0;1;1.0;2.16
0;2;1;0;0;1;0;1.0;2.18
0;5;0;0;0;0;1;1.0;2.2
6;5;0;0;0;1;0;1.0;2.25
5;2;0;0;0;1;1;1.0;2.29
5;5;0;0;0;1;0;1.0;2.38
6;5;0;0;0;0;1;1.0;2.81
6;2;0;0;0;1;1;1.0;3.08
5;5;0;2;1;1;0;1.0;3.14
0;2;1;0;0;1;1;1.0;3.32
6;5;0;2;1;1;0;1.0;3.39
6;5;4;2;1;1;1;1.0;3.52
5;5;0;2;1;1;1;1.0;3.69
0;2;4;2;1;1;0;1.0;3.85
6;2;0;2;1;1;0;1.0;3.91
6;5;0;2;1;1;1;1.0;3.94
6;5;4;2;1;1;0;1.0;3.98
5;5;4;2;1;1;0;1.0;4.0
5;2;0;2;1;1;0;1.0;4.07
6;2;0;2;1;1;1;1.0;4.08
5;2;0;2;1;1;1;1.0;4.09
0;5;5;2;0;1;1;1.0;4.27
6;2;4;2;1;1;0;1.0;4.29
0;5;4;2;1;1;0;1.0;4.41
5;5;4;2;1;1;1;1.0;4.48
6;2;4;2;1;1;1;1.0;4.57
6;5;5;2;0;1;0;1.0;4.58
0;5;5;2;0;1;0;1.0;4.61
0;2;0;2;1;1;0;1.0;4.67
5;2;4;2;1;1;0;1.0;4.86
0;2;0;2;1;1;1;1.0;4.87
6;2;5;2;0;1;0;1.0;4.9
6;5;5;2;0;1;1;1.0;5.25
5;2;5;2;0;1;0;1.0;5.26
0;5;0;2;1;1;0;1.0;5.28
6;2;5;2;0;1;1;1.0;5.35
0;5;4;2;1;1;1;1.0;5.61
0;2;5;2;0;1;0;1.0;5.74
5;5;5;2;0;1;0;1.0;5.77
5;5;5;2;0;1;1;1.0;5.79
0;2;4;2;1;1;1;1.0;5.84
0;5;0;2;1;1;1;1.0;5.89
5;2;4;2;1;1;1;1.0;6.01
0;2;5;2;0;1;1;1.0;6.14
5;2;5;2;0;1;1;1.0;6.85
0;0;5;1;1;1;1;0.9874;2.86
0;5;5;1;1;1;0;0.9874;4.24
0;0;5;1;1;1;0;0.9874;4.33
0;0;5;2;1;1;1;0.9874;5.15
0;2;5;1;1;1;1;0.9874;5.29
0;5;5;2;1;1;0;0.9874;5.32
0;5;5;1;1;1;1;0.9874;5.55
0;5;5;2;1;1;1;0.9874;5.57
0;0;5;2;1;1;0;0.9874;5.76
5;2;5;1;1;1;1;0.9874;5.94
5;5;5;2;1;1;1;0.9874;6.35
5;2;5;1;1;1;0;0.9874;6.36
5;2;5;2;1;1;0;0.9874;6.42
0;2;5;1;1;1;0;0.9874;6.61
5;2;5;2;1;1;1;0.9874;6.71
0;2;5;2;1;1;1;0.9874;6.83
0;2;5;2;1;1;0;0.9874;6.92
5;5;5;1;1;1;0;0.9874;8.69
5;5;5;1;1;1;1;0.9874;9.52
5;5;5;2;1;1;0;0.9874;12.92
0;4;0;0;0;0;0;0.9812;1.36
0;3;0;0;0;1;0;0.9812;1.53
6;3;0;0;0;0;0;0.9812;1.75
0;3;0;0;0;0;0;0.9812;1.79
0;4;0;0;0;1;0;0.9812;1.81
0;4;0;0;0;1;1;0.9812;1.95
0;3;0;0;0;0;1;0.9812;1.98
0;3;0;0;0;1;1;0.9812;2.26
6;3;0;0;0;0;1;0.9812;2.31
6;3;0;0;0;1;0;0.9812;2.44
6;4;0;0;0;1;0;0.9812;2.45
6;4;0;0;0;0;0;0.9812;2.79
6;3;0;0;0;1;1;0.9812;2.8
6;4;0;0;0;0;1;0.9812;2.95
6;4;0;0;0;1;1;0.9812;2.96
0;4;0;0;0;0;1;0.9812;3.5
6;5;4;1;0;1;0;0.9529;2.86
6;5;4;1;0;1;1;0.9529;3.22
6;2;4;1;0;1;0;0.9529;3.63
6;2;4;1;0;1;1;0.9529;4.06
0;5;5;2;1;0;1;0.9527;2.81
5;2;5;1;1;0;0;0.9527;3.37
0;0;5;1;1;0;0;0.9527;3.92
5;2;5;1;1;0;1;0.9527;4.24
0;0;5;2;1;0;1;0.9527;4.77
0;5;5;1;1;0;0;0.9527;4.89
0;5;5;2;1;0;0;0.9527;4.91
0;5;5;1;1;0;1;0.9527;5.39
0;0;5;1;1;0;1;0.9527;5.42
0;0;5;2;1;0;0;0.9527;5.98
0;2;5;1;1;0;0;0.9527;6.35
5;5;5;1;1;0;0;0.9527;6.77
0;2;5;1;1;0;1;0.9527;6.82
5;5;5;1;1;0;1;0.9527;7.24
0;2;5;2;1;0;0;0.9527;7.36
0;2;5;2;1;0;1;0.9527;7.44
5;2;5;2;1;0;0;0.9527;8.19
5;2;5;2;1;0;1;0.9527;10.56
5;5;5;2;1;0;1;0.9527;12.03
5;5;5;2;1;0;0;0.9527;17.23
5;0;0;0;0;1;0;0.9322;1.07
0;0;0;0;0;1;0;0.9322;1.59
0;0;0;0;0;1;1;0.9322;1.93
5;0;0;0;0;1;1;0.9322;1.93
6;0;0;0;0;1;0;0.9322;2.13
6;0;0;0;0;1;1;0.9322;3.05
5;1;4;2;0;1;0;0.9257;7.26
5;1;4;2;0;1;1;0.9257;8.83
5;0;0;0;0;0;1;0.9211;1.18
5;0;0;0;0;0;0;0.9211;1.63
5;4;0;0;0;1;0;0.9103;1.68
5;4;0;0;0;1;1;0.9103;2.98
5;3;0;0;0;1;0;0.9103;3.39
5;3;0;0;0;1;1;0.9103;3.42
2;0;0;2;0;1;0;0.9013;2.47
2;0;1;2;0;1;0;0.9013;2.64
2;0;0;2;0;1;1;0.9013;2.91
2;0;1;2;0;1;1;0.9013;3.01
5;1;4;2;0;0;1;0.9006;7.69
5;1;4;2;0;0;0;0.9006;10.57
5;2;1;1;0;0;1;0.8967;1.96
3;0;5;0;0;1;0;0.8967;2.59
3;2;5;0;0;1;1;0.8967;3.91
3;0;4;0;1;1;0;0.8967;4.21
3;1;4;0;1;1;0;0.8967;4.64
3;4;4;0;1;1;1;0.8967;4.67
3;0;5;0;0;1;1;0.8967;4.7
3;4;5;0;0;1;1;0.8967;4.77
3;4;4;0;1;1;0;0.8967;4.78
3;2;5;0;0;1;0;0.8967;4.93
3;5;5;0;0;1;0;0.8967;4.98
3;0;4;0;1;1;1;0.8967;5.12
3;1;5;0;0;1;0;0.8967;5.41
3;5;5;0;0;1;1;0.8967;5.45
3;1;5;0;0;1;1;0.8967;5.46
3;4;5;0;0;1;0;0.8967;5.52
3;2;4;0;1;1;0;0.8967;5.59
3;3;4;0;1;1;0;0.8967;5.71
3;5;4;0;1;1;0;0.8967;5.71
3;3;5;0;0;1;1;0.8967;5.96
3;1;4;0;1;1;1;0.8967;6.04
3;2;4;0;1;1;1;0.8967;6.29
