#@seed 1037
#@graphSize 30
#@graphDepth 10
#@sdComp 0.1
#@sdComm 1.0
#@CCR 1
#@nbproc 6
#@minmk 15.0411

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
2;0;1;1;0;0;0;1.0;11.88
2;0;1;1;0;0;1;1.0;14.0
2;0;1;1;0;1;0;1.0;15.5
2;0;1;1;0;1;1;1.0;18.25
2;0;1;0;0;1;0;1.0;19.28
2;0;1;0;0;0;1;1.0;21.48
2;0;1;0;0;1;1;1.0;24.37
2;0;1;0;0;0;0;1.0;24.41
2;0;0;0;0;1;1;0.992;17.13
2;0;0;0;0;0;0;0.992;19.33
2;0;0;0;0;1;0;0.992;22.6
2;0;0;0;0;0;1;0.992;22.92
4;1;4;0;1;0;0;0.9897;13.39
4;2;4;0;1;0;0;0.9897;13.46
4;4;4;0;1;0;0;0.9897;13.92
4;3;4;0;1;1;1;0.9897;13.94
4;0;4;0;1;1;0;0.9897;14.06
4;2;5;0;0;1;0;0.9897;14.51
4;1;4;0;1;1;0;0.9897;14.85
4;3;4;0;1;0;0;0.9897;15.04
4;3;4;0;1;1;0;0.9897;15.1
4;4;4;0;1;1;1;0.9897;15.37
4;0;4;0;1;1;1;0.9897;15.58
4;3;4;0;1;0;1;0.9897;15.95
4;4;4;0;1;0;1;0.9897;16.97
4;2;4;0;1;0;1;0.9897;17.15
4;4;5;0;0;1;0;0.9897;17.25
4;3;5;0;0;1;1;0.9897;17.64
4;1;5;0;0;0;1;0.9897;17.87
4;5;4;0;1;0;0;0.9897;18.38
4;2;4;0;1;1;0;0.9897;18.41
4;1;4;0;1;1;1;0.9897;18.5
4;4;4;0;1;1;0;0.9897;18.52
4;1;5;0;0;0;0;0.9897;18.55
4;3;5;0;0;0;1;0.9897;18.64
4;3;5;0;0;0;0;0.9897;18.94
4;5;4;0;1;1;0;0.9897;18.95
4;4;5;0;0;1;1;0.9897;19.16
4;4;5;0;0;0;0;0.9897;19.55
4;2;5;0;0;0;1;0.9897;19.64
4;5;4;0;1;1;1;0.9897;19.74
4;0;4;0;1;0;0;0.9897;19.83
4;1;4;0;1;0;1;0.9897;19.94
4;5;5;0;0;0;0;0.9897;20.45
4;0;4;0;1;0;1;0.9897;20.63
4;0;5;0;0;1;1;0.9897;20.67
4;2;4;0;1;1;1;0.9897;20.71
4;2;5;0;0;0;0;0.9897;20.84
4;5;4;0;1;0;1;0.9897;21.06
4;5;5;0;0;1;1;0.9897;21.29
4;0;5;0;0;0;0;0.9897;21.45
4;0;5;0;0;0;1;0.9897;21.81
4;4;5;0;0;0;1;0.9897;21.99
4;5;5;0;0;1;0;0.9897;22.77
4;3;5;0;0;1;0;0.9897;22.81
4;1;5;0;0;1;0;0.9897;22.97
4;2;5;0;0;1;1;0.9897;23.12
4;5;5;0;0;0;1;0.9897;23.69
4;0;5;0;0;1;0;0.9897;23.72
4;1;5;0;0;1;1;0.9897;25.52
6;3;4;0;0;1;1;0.987;17.79
6;5;4;0;0;1;0;0.987;18.5
6;3;4;0;0;1;0;0.987;18.85
6;1;4;0;0;1;1;0.987;20.13
6;2;4;0;0;1;1;0.987;20.64
6;2;4;0;0;1;0;0.987;21.01
6;5;4;0;0;1;1;0.987;22.22
6;0;4;0;0;1;1;0.987;23.0
6;4;4;0;0;1;1;0.987;23.03
6;4;4;0;0;1;0;0.987;23.37
6;4;5;0;1;1;0;0.987;24.08
6;0;4;0;0;1;0;0.987;24.57
6;1;5;0;1;1;0;0.987;24.93
6;1;4;0;0;1;0;0.987;25.48
6;2;5;0;1;1;1;0.987;25.99
6;5;5;0;1;1;0;0.987;27.27
6;5;5;0;1;1;1;0.987;27.35
0;1;5;0;1;1;0;0.987;27.66
6;0;5;0;1;1;0;0.987;27.89
0;4;5;0;1;1;0;0.987;28.65
6;4;5;0;1;1;1;0.987;29.82
0;5;5;0;1;1;0;0.987;29.93
6;1;5;0;1;1;1;0.987;30.16
0;5;5;0;1;1;1;0.987;30.35
0;1;5;0;1;1;1;0.987;30.55
0;3;5;0;1;1;0;0.987;30.73
6;3;5;0;1;1;1;0.987;31.59
0;3;5;0;1;1;1;0.987;32.03
6;3;5;0;1;1;0;0.987;32.47
0;2;5;0;1;1;1;0.987;32.75
0;0;5;0;1;1;0;0.987;32.85
0;0;5;0;1;1;1;0.987;33.22
0;2;5;0;1;1;0;0.987;33.31
6;2;5;0;1;1;0;0.987;33.55
6;0;5;0;1;1;1;0.987;34.78
0;4;5;0;1;1;1;0.987;35.25
1;3;5;1;1;0;1;0.9864;9.83
1;4;5;1;1;0;1;0.9864;10.27
1;4;5;2;1;0;1;0.9864;10.37
1;2;5;2;1;0;1;0.9864;10.54
1;2;5;2;1;0;0;0.9864;11.11
1;4;5;2;1;0;0;0.9864;12.5
1;2;5;1;1;0;0;0.9864;13.04
1;4;5;1;1;0;0;0.9864;13.2
1;3;5;1;1;0;0;0.9864;13.25
1;2;5;1;1;0;1;0.9864;13.33
1;3;5;2;1;0;0;0.9864;13.82
1;0;5;2;1;0;0;0.9864;14.16
1;0;5;2;1;0;1;0.9864;14.17
1;0;5;1;1;0;1;0.9864;14.29
1;3;5;2;1;0;1;0.9864;14.95
1;1;5;2;1;0;0;0.9864;15.31
1;1;5;1;1;0;1;0.9864;16.33
1;1;5;2;1;0;1;0.9864;16.45
1;1;5;1;1;0;0;0.9864;16.59
1;5;5;2;1;0;0;0.9864;17.41
1;5;5;1;1;0;0;0.9864;17.47
1;5;5;1;1;0;1;0.9864;17.81
1;0;5;1;1;0;0;0.9864;17.87
1;5;5;2;1;0;1;0.9864;17.95
1;0;0;1;0;0;0;0.984;2.5
1;4;0;1;0;1;0;0.984;2.53
1;3;0;1;0;0;1;0.984;2.94
1;0;0;1;0;0;1;0.984;3.04
1;3;0;1;0;1;0;0.984;3.39
1;4;0;1;0;1;1;0.984;3.51
1;1;0;1;0;0;0;0.984;3.58
1;1;0;1;0;1;1;0.984;3.88
1;1;0;1;0;0;1;0.984;4.06
1;1;0;1;0;1;0;0.984;4.17
1;4;0;1;0;0;0;0.984;4.52
1;0;0;1;0;1;0;0.984;4.53
1;5;0;1;0;1;0;0.984;4.68
1;3;0;1;0;0;0;0.984;4.91
1;2;0;1;0;1;0;0.984;4.93
1;2;0;1;0;0;0;0.984;4.96
1;5;0;1;0;0;0;0.984;4.96
1;3;0;1;0;1;1;0.984;5.25
1;0;4;1;0;1;0;0.984;5.64
1;5;0;1;0;0;1;0.984;5.65
1;2;0;1;0;0;1;0.984;5.75
1;2;0;1;0;1;1;0.984;5.8
1;4;0;1;0;0;1;0.984;6.0
1;5;0;1;0;1;1;0.984;6.15
1;1;4;1;0;0;0;0.984;6.25
1;4;4;1;0;0;0;0.984;6.42
1;1;4;1;0;0;1;0.984;6.6
1;5;4;1;0;0;1;0.984;6.65
1;3;4;1;0;0;0;0.984;6.71
1;4;4;1;0;1;0;0.984;6.86
1;0;0;1;0;1;1;0.984;7.02
1;5;4;1;0;1;1;0.984;7.37
1;0;4;1;0;1;1;0.984;7.51
1;5;4;1;0;1;0;0.984;8.23
1;2;4;1;0;1;0;0.984;8.36
1;1;4;1;0;1;0;0.984;8.68
1;5;4;1;0;0;0;0.984;8.85
1;2;4;1;0;0;0;0.984;8.98
1;3;4;1;0;1;0;0.984;9.02
1;0;4;1;0;0;0;0.984;9.07
1;3;4;1;0;1;1;0.984;10.06
1;4;4;1;0;0;1;0.984;10.15
1;4;4;1;0;1;1;0.984;10.48
1;3;4;1;0;0;1;0.984;10.53
1;0;4;1;0;0;1;0.984;10.55
1;2;4;1;0;1;1;0.984;10.57
1;1;4;1;0;1;1;0.984;10.58
1;2;4;1;0;0;1;0.984;10.67
3;5;4;0;0;0;1;0.9824;13.46
3;2;4;0;0;1;0;0.9824;13.82
3;2;4;0;0;1;1;0.9824;13.83
3;3;4;0;0;1;1;0.9824;15.83
3;4;4;0;0;0;0;0.9824;16.48
3;2;4;0;0;0;1;0.9824;16.84
3;5;4;0;0;1;1;0.9824;16.89
3;4;4;0;0;0;1;0.9824;17.36
3;1;4;0;0;1;0;0.9824;17.85
3;0;4;0;0;1;0;0.9824;17.94
3;5;4;0;0;0;0;0.9824;17.98
3;5;4;0;0;1;0;0.9824;18.06
3;0;4;0;0;0;0;0.9824;18.66
3;4;4;0;0;1;0;0.9824;19.29
