#@seed 1881
#@graphSize 30
#@graphDepth 5
#@sdComp 1
#@sdComm 0.3
#@CCR 1
#@nbproc 6
#@minmk 5.635

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
5;5;0;1;1;1;0;1.0;7.94
5;5;4;1;1;1;1;1.0;8.32
0;5;5;1;0;1;0;1.0;9.3
0;5;4;1;1;1;0;1.0;9.47
5;2;0;1;1;1;1;1.0;9.57
6;5;4;1;1;1;0;1.0;9.86
6;2;0;1;1;1;0;1.0;9.87
5;2;4;1;1;1;0;1.0;9.89
6;5;5;1;0;1;0;1.0;9.94
6;2;5;1;0;1;0;1.0;10.54
6;5;5;1;0;1;1;1.0;10.56
5;2;5;1;0;1;0;1.0;10.67
6;2;5;1;0;1;1;1.0;10.86
5;2;0;1;1;1;0;1.0;11.1
0;2;5;1;0;1;0;1.0;11.25
0;2;0;1;1;1;0;1.0;11.44
6;2;4;1;1;1;0;1.0;11.69
0;5;5;1;0;1;1;1.0;11.72
0;2;4;1;1;1;0;1.0;11.81
6;5;4;1;1;1;1;1.0;11.88
5;5;5;1;0;1;1;1.0;12.57
3;1;4;1;1;1;1;1.0;12.65
3;1;5;1;0;1;1;1.0;13.22
0;5;4;1;1;1;1;1.0;13.3
0;5;0;1;1;1;0;1.0;13.37
6;2;4;1;1;1;1;1.0;14.13
0;5;0;1;1;1;1;1.0;14.24
5;5;4;1;1;1;0;1.0;14.26
6;5;0;1;1;1;0;1.0;14.47
5;5;5;1;0;1;0;1.0;14.7
5;5;0;1;1;1;1;1.0;14.99
6;5;0;1;1;1;1;1.0;15.17
0;2;0;1;1;1;1;1.0;15.24
0;2;4;1;1;1;1;1.0;15.3
6;2;0;1;1;1;1;1.0;15.31
3;1;5;1;0;1;0;1.0;15.5
3;1;4;1;1;1;0;1.0;15.59
5;2;4;1;1;1;1;1.0;15.8
5;3;5;1;1;1;0;1.0;17.15
5;3;5;1;1;0;0;1.0;17.56
5;2;5;1;0;1;1;1.0;17.72
0;2;5;1;0;1;1;1.0;18.41
3;1;0;1;1;1;0;1.0;19.14
3;1;0;1;1;1;1;1.0;19.66
5;4;5;1;1;0;1;1.0;20.83
5;4;5;1;1;1;0;1.0;22.03
5;3;5;1;1;1;1;1.0;22.65
5;4;5;2;1;1;0;1.0;23.16
5;4;5;1;1;1;1;1.0;23.63
5;3;5;2;1;0;0;1.0;23.65
5;3;5;2;1;0;1;1.0;26.33
5;4;5;2;1;1;1;1.0;26.56
5;4;5;1;1;0;0;1.0;28.08
5;3;5;1;1;0;1;1.0;29.35
