#@seed 4162
#@graphSize 50
#@graphDepth 17
#@sdComp 0.1
#@sdComm 0.1
#@CCR 0.1
#@nbproc 3
#@minmk 19.1527

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
0;4;0;1;0;0;0;1.0;5.88
0;3;0;1;0;1;0;1.0;6.14
0;4;0;1;0;1;0;1.0;6.22
0;3;0;1;0;1;1;1.0;8.08
0;4;0;1;0;0;1;1.0;8.12
0;3;0;1;0;0;1;1.0;8.39
0;3;0;1;0;0;0;1.0;8.45
6;4;0;1;0;0;0;1.0;9.72
6;4;0;1;0;1;1;1.0;10.5
6;4;0;1;0;1;0;1.0;10.92
6;3;0;1;0;0;0;1.0;11.33
6;3;0;1;0;1;0;1.0;12.31
0;4;0;1;0;1;1;1.0;12.83
6;4;0;1;0;0;1;1.0;14.1
6;3;0;1;0;0;1;1.0;14.41
6;3;0;1;0;1;1;1.0;15.32
2;2;5;0;1;0;0;0.9859;34.4
2;0;5;0;1;0;1;0.9859;40.27
2;0;5;0;1;0;0;0.9859;40.3
2;2;5;0;1;1;0;0.9859;40.9
2;2;5;0;1;1;1;0.9859;41.04
2;2;5;0;1;0;1;0.9859;44.59
2;0;5;0;1;1;0;0.9859;48.1
2;5;5;0;1;0;0;0.9859;48.2
2;0;5;0;1;1;1;0.9859;51.2
2;5;5;0;1;0;1;0.9859;52.76
2;5;5;0;1;1;0;0.9859;54.29
2;5;5;0;1;1;1;0.9859;55.64
0;3;5;2;1;1;0;0.9854;22.75
0;4;5;1;1;0;0;0.9854;23.48
0;3;5;2;1;1;1;0.9854;26.21
0;3;5;1;1;1;0;0.9854;29.3
0;4;5;2;1;0;1;0.9854;29.56
0;3;5;1;1;1;1;0.9854;29.78
0;3;5;2;1;0;1;0.9854;30.1
0;4;5;2;1;0;0;0.9854;30.14
0;3;5;1;1;0;1;0.9854;30.53
0;4;5;2;1;1;1;0.9854;30.58
0;3;5;2;1;0;0;0.9854;33.17
0;3;5;1;1;0;0;0.9854;33.34
0;4;5;1;1;1;1;0.9854;33.82
0;4;5;1;1;1;0;0.9854;34.79
0;4;5;2;1;1;0;0.9854;35.62
