#@seed 2402
#@graphSize 50
#@graphDepth 8
#@sdComp 0.3
#@sdComm 0.3
#@CCR 1
#@nbproc 3
#@minmk 18.312

prio;cost;placement;desc;BIM;ins;bsa;makespan;time
6;5;4;1;0;1;0;1.0;21.76
6;2;4;1;0;0;0;1.0;21.93
6;5;4;1;0;0;1;1.0;23.23
6;2;4;1;0;1;1;1.0;24.66
6;2;4;1;0;1;0;1.0;25.46
6;2;4;1;0;0;1;1.0;25.76
6;5;4;1;0;0;0;1.0;25.83
6;5;4;1;0;1;1;1.0;29.76
0;3;5;0;1;1;1;0.9984;54.41
0;3;5;0;1;1;0;0.9984;63.15
0;4;5;0;1;1;1;0.9984;64.72
0;4;5;0;1;1;0;0.9984;65.62
5;4;5;0;1;1;1;0.9984;68.74
5;4;5;0;1;1;0;0.9984;71.58
5;3;5;0;1;1;1;0.9984;71.92
5;3;5;0;1;1;0;0.9984;74.45
5;1;4;1;0;1;1;0.9953;35.64
5;1;4;1;0;1;0;0.9953;37.05
5;5;5;1;1;0;1;0.9943;48.64
5;5;5;2;1;0;0;0.9943;48.67
5;2;5;2;1;0;0;0.9943;49.34
5;2;5;1;1;0;0;0.9943;49.87
5;5;5;1;1;0;0;0.9943;49.91
5;5;5;2;1;0;1;0.9943;55.94
5;2;5;2;1;0;1;0.9943;56.4
5;2;5;1;1;0;1;0.9943;57.02
0;4;4;1;0;1;1;0.9905;21.41
0;4;4;1;0;1;0;0.9905;21.93
0;4;4;1;0;0;0;0.9905;25.22
0;4;4;1;0;0;1;0.9905;26.43
0;3;4;1;0;1;1;0.9905;27.33
0;3;4;1;0;0;0;0.9905;27.92
0;3;4;1;0;1;0;0.9905;28.08
0;3;4;1;0;0;1;0.9905;31.13
0;4;5;2;1;1;0;0.9869;33.28
0;3;5;2;1;0;0;0.9869;36.59
0;4;5;2;1;0;1;0.9869;38.0
0;4;5;2;1;0;0;0.9869;42.25
0;3;5;2;1;0;1;0.9869;43.04
0;3;5;2;1;1;1;0.9869;43.47
0;3;5;1;1;1;0;0.9869;44.93
0;3;5;2;1;1;0;0.9869;45.41
0;4;5;1;1;0;0;0.9869;45.74
0;4;5;1;1;0;1;0.9869;46.55
0;3;5;1;1;0;0;0.9869;47.45
0;4;5;2;1;1;1;0.9869;47.96
0;3;5;1;1;1;1;0.9869;49.65
0;4;5;1;1;1;1;0.9869;49.79
0;3;5;1;1;0;1;0.9869;50.61
0;4;5;1;1;1;0;0.9869;51.24
5;2;4;1;0;1;0;0.9864;29.94
5;5;4;1;0;1;0;0.9864;32.22
5;5;4;1;0;1;1;0.9864;39.48
5;2;4;1;0;1;1;0.9864;40.81
3;1;0;0;0;1;0;0.9848;7.37
3;1;0;0;0;1;1;0.9848;16.03
3;1;0;0;1;1;1;0.9848;29.62
3;1;0;0;1;1;0;0.9848;34.63
0;2;5;1;1;1;0;0.9776;38.21
0;2;5;2;1;1;0;0.9776;42.31
0;5;5;1;1;1;1;0.9776;44.05
0;2;5;2;1;1;1;0.9776;45.33
0;2;5;1;1;1;1;0.9776;46.59
0;5;5;1;1;1;0;0.9776;46.84
0;5;5;2;1;1;0;0.9776;50.06
0;5;5;2;1;1;1;0.9776;52.4
6;1;4;1;0;1;0;0.9771;27.26
6;1;4;1;0;1;1;0.9771;31.7
6;0;5;2;1;0;0;0.9737;25.64
6;0;5;1;1;1;0;0.9737;36.25
6;0;5;2;1;1;0;0.9737;36.95
6;0;5;1;1;0;0;0.9737;40.25
6;0;5;2;1;0;1;0.9737;40.45
6;0;5;1;1;1;1;0.9737;40.84
6;0;5;1;1;0;1;0.9737;41.32
6;0;5;2;1;1;1;0.9737;43.09
5;5;5;2;1;1;0;0.9733;47.22
5;5;5;2;1;1;1;0.9733;52.65
5;5;5;1;1;1;1;0.9733;52.78
5;5;5;1;1;1;0;0.9733;54.47
5;2;5;2;1;1;1;0.9733;55.48
5;2;5;1;1;1;0;0.9733;55.54
5;2;5;2;1;1;0;0.9733;55.54
5;2;5;1;1;1;1;0.9733;63.49
6;1;1;1;0;0;0;0.9724;8.91
0;1;1;1;0;0;0;0.9724;11.71
0;1;1;1;0;1;0;0.9724;12.83
6;1;1;1;0;1;0;0.9724;15.21
6;1;1;1;0;0;1;0.9724;15.55
6;1;1;1;0;1;1;0.9724;15.6
0;1;1;1;0;1;1;0.9724;15.77
0;1;1;1;0;0;1;0.9724;16.69
6;1;5;1;1;0;1;0.9701;33.25
6;1;5;1;1;1;1;0.9701;36.37
6;1;5;2;1;1;1;0.9701;37.27
6;1;5;2;1;1;0;0.9701;37.51
6;1;5;1;1;0;0;0.9701;38.47
6;1;5;2;1;0;0;0.9701;39.11
6;1;5;2;1;0;1;0.9701;42.21
6;1;5;1;1;1;0;0.9701;43.47
0;1;5;0;1;0;1;0.9675;49.23
0;1;5;0;1;0;0;0.9675;51.45
0;1;5;0;1;1;0;0.9675;54.55
0;1;5;0;1;1;1;0.9675;64.63
6;3;5;0;1;1;0;0.9673;40.26
6;4;5;0;1;1;0;0.9673;49.26
6;4;5;0;1;1;1;0.9673;54.54
6;3;5;0;1;1;1;0.9673;57.85
5;0;5;0;1;1;1;0.9672;63.37
5;0;5;0;1;0;0;0.9672;66.14
5;0;5;0;1;1;0;0.9672;73.74
5;0;5;0;1;0;1;0.9672;75.88
6;0;5;0;1;1;0;0.9671;49.4
6;0;5;0;1;1;1;0.9671;52.09
5;1;0;1;0;1;0;0.9647;11.12
5;1;0;1;0;1;1;0.9647;13.58
0;0;0;1;0;1;1;0.9642;8.68
0;0;0;1;0;1;0;0.9642;8.85
6;0;0;1;0;1;0;0.9642;11.44
6;0;0;1;0;1;1;0.9642;11.86
5;1;5;0;1;1;0;0.964;68.51
5;1;5;0;1;0;0;0.964;69.52
5;1;5;0;1;1;1;0.964;69.65
5;1;5;0;1;0;1;0.964;72.55
6;0;4;1;0;0;0;0.9632;23.41
6;0;4;1;0;1;1;0.9632;26.09
6;0;4;1;0;1;0;0.9632;28.32
6;0;4;1;0;0;1;0.9632;29.6
2;0;1;1;0;1;1;0.9619;13.3
2;0;1;1;0;1;0;0.9619;18.3
0;0;4;0;0;0;0;0.9594;35.07
0;0;4;0;0;0;1;0.9594;42.8
0;0;4;0;0;1;1;0.9594;43.29
0;0;4;0;0;1;0;0.9594;46.0
0;0;5;0;1;0;0;0.9587;60.34
0;0;5;0;1;1;0;0.9587;60.69
0;0;5;0;1;0;1;0.9587;60.97
0;0;5;0;1;1;1;0.9587;66.32
0;2;5;0;1;1;1;0.9585;53.46
0;5;5;0;1;0;0;0.9585;53.9
0;2;5;0;1;1;0;0.9585;55.39
0;2;5;0;1;0;0;0.9585;56.65
0;5;5;0;1;0;1;0.9585;57.3
0;5;5;0;1;1;0;0.9585;57.56
0;2;5;0;1;0;1;0.9585;59.16
0;5;5;0;1;1;1;0.9585;60.77
0;5;4;1;0;1;0;0.9582;26.79
0;2;4;1;0;1;1;0.9582;29.05
0;2;4;1;0;1;0;0.9582;29.91
0;5;4;1;0;1;1;0.9582;32.62
5;1;0;1;0;0;0;0.9579;10.11
5;1;0;1;0;0;1;0.9579;15.86
6;4;5;0;1;0;1;0.9579;44.73
6;4;5;0;1;0;0;0.9579;46.38
6;3;5;0;1;0;1;0.9579;47.96
6;3;5;0;1;0;0;0.9579;54.83
0;1;4;1;0;1;0;0.9575;28.81
0;1;4;1;0;1;1;0.9575;32.1
5;1;5;1;1;0;0;0.9574;52.6
5;1;5;1;1;1;0;0.9574;54.76
5;1;5;2;1;0;0;0.9574;57.41
5;1;5;2;1;1;1;0.9574;57.51
5;1;5;1;1;1;1;0.9574;58.02
5;1;5;2;1;1;0;0.9574;59.78
5;1;5;2;1;0;1;0.9574;60.89
5;1;5;1;1;0;1;0.9574;80.37
0;1;0;1;0;1;0;0.955;6.32
0;1;0;1;0;1;1;0.955;8.1
6;1;0;1;0;1;0;0.955;9.52
6;1;0;1;0;1;1;0.955;10.6
5;2;0;1;0;0;0;0.9541;9.22
5;2;0;1;0;0;1;0.9541;11.0
5;5;0;1;0;0;0;0.9541;12.46
5;5;0;1;0;0;1;0.9541;14.16
5;2;0;1;0;1;0;0.9538;10.69
5;5;0;1;0;1;0;0.9538;11.19
5;2;0;1;0;1;1;0.9538;12.81
5;5;0;1;0;1;1;0.9538;14.24
0;3;0;1;0;0;0;0.9536;5.72
6;3;0;1;0;0;0;0.9536;5.84
0;4;0;1;0;0;0;0.9536;6.62
0;3;0;1;0;0;1;0.9536;6.95
6;4;0;1;0;0;0;0.9536;8.36
0;4;0;1;0;0;1;0.9536;12.05
6;4;0;1;0;0;1;0.9536;12.94
6;3;0;1;0;0;1;0.9536;13.8
2;4;5;2;1;1;0;0.9514;37.27
2;3;5;1;1;1;0;0.9514;39.26
2;4;5;2;1;1;1;0.9514;43.55
2;4;5;1;1;1;1;0.9514;48.22
2;3;5;2;1;1;1;0.9514;48.31
2;4;5;1;1;1;0;0.9514;48.84
2;3;5;2;1;1;0;0.9514;51.74
2;3;5;1;1;1;1;0.9514;54.14
5;2;4;1;0;0;1;0.951;29.14
5;2;4;1;0;0;0;0.951;29.8
5;5;4;1;0;0;0;0.951;36.27
5;5;4;1;0;0;1;0.951;40.55
5;2;0;0;0;1;1;0.9506;12.77
5;5;0;0;0;1;0;0.9506;14.42
5;2;0;0;0;1;0;0.9506;14.69
5;5;0;0;0;1;1;0.9506;18.79
0;0;5;1;1;1;0;0.9501;36.25
0;0;5;2;1;1;1;0.9501;36.48
0;0;5;1;1;0;1;0.9501;40.05
0;0;5;1;1;0;0;0.9501;43.61
0;0;5;2;1;0;0;0.9501;44.13
0;0;5;2;1;0;1;0.9501;44.52
0;0;5;2;1;1;0;0.9501;47.15
0;0;5;1;1;1;1;0.9501;48.59
5;5;5;0;1;0;0;0.9495;68.78
5;2;5;0;1;1;0;0.9495;68.9
5;5;5;0;1;1;0;0.9495;69.93
5;5;5;0;1;0;1;0.9495;73.72
5;2;5;0;1;0;0;0.9495;75.06
5;2;5;0;1;1;1;0.9495;75.95
5;2;5;0;1;0;1;0.9495;76.43
5;5;5;0;1;1;1;0.9495;79.19
0;0;0;0;0;0;1;0.9481;9.83
0;0;0;0;0;0;0;0.9481;13.01
6;0;0;0;0;0;0;0.9481;13.66
6;0;0;0;0;0;1;0.9481;14.82
3;1;1;0;0;1;0;0.9468;13.64
